player_id,first_name,second_name,name,position,team,price,status,news,chance_of_playing_next_round,selected_by_percent,form,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,expected_goals,expected_assists,influence,creativity,threat,ict_index,bps,bonus,transfers_in,transfers_out,transfers_in_event,transfers_out_event,minutes_gw1,goals_gw1,assists_gw1,clean_sheets_gw1,bonus_gw1,bps_gw1,total_points_gw1,started_gw1,played_gw1,availability,availability_multiplier,xmins,start_probability,rotation_risk,reliable_starter
208,Ismaïla,Sarr,Sarr,MID,Crystal Palace,6.5,i,Groin injury - Unknown return date,0.0,2.8,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2053,157299,2053,157299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,UNAVAILABLE,0.0,0.0,0.0,OUT,0
210,Adam,Wharton,Wharton,MID,Crystal Palace,5.5,a,,100.0,0.9,4.0,4.0,4,90,0,0,0,0.0,0.24,16.8,30.9,0.0,4.8,20,0,5328,6208,5328,6208,90.0,0.0,0.0,0.0,0.0,20.0,4.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
211,Yéremy,Pino Santos,Yeremy,MID,Crystal Palace,5.5,a,,,0.2,1.0,1.0,1,35,0,0,0,0.06,0.02,2.0,6.3,6.0,1.4,4,0,237,1929,237,1929,35.0,0.0,0.0,0.0,0.0,4.0,1.0,0,1,AVAILABLE,1.0,45.0,0.5,HIGH,0
212,Will,Hughes,Hughes,MID,Crystal Palace,4.5,a,,,10.9,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17191,73800,17191,73800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
213,Jefferson,Lerma Solís,Lerma,MID,Crystal Palace,5.0,a,,,0.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,175,1162,175,1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
214,Daichi,Kamada,Kamada,MID,Crystal Palace,5.0,a,,,0.3,3.0,3.0,3,90,0,0,0,0.0,0.27,20.4,29.3,0.0,5.0,25,0,1519,2502,1519,2502,90.0,0.0,0.0,0.0,0.0,25.0,3.0,1,1,AVAILABLE,1.0,82.0,0.9111111111111111,LOW,1
215,Justin,Devenny,Devenny,MID,Crystal Palace,5.0,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,59,149,59,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
216,Romain,Esse,Esse,MID,Crystal Palace,5.0,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,189,506,189,506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
217,Matheus,França de Oliveira,M.França,MID,Crystal Palace,5.0,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15,554,15,554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
218,Cheick,Doucouré,Doucouré,MID,Crystal Palace,5.0,a,,,0.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,212,856,212,856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
219,Jesurun,Rak-Sakyi,J.Rak-Sakyi,MID,Crystal Palace,5.0,a,,,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,33,74,33,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
220,Rio,Cardines,Cardines,DEF,Crystal Palace,4.5,u,Has joined Bristol City on loan for the rest of the season,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,57,0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,UNAVAILABLE,0.0,0.0,0.0,OUT,0
221,Joél,Drakes-Thomas,Drakes-Thomas,MID,Crystal Palace,4.5,a,,,0.1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,346,826,346,826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
222,Jørgen,Strand Larsen,Strand Larsen,FWD,Crystal Palace,6.0,a,,,0.5,1.0,1.0,1,27,0,0,0,0.25,0.01,1.0,3.5,17.0,2.2,3,0,1175,5912,1175,5912,27.0,0.0,0.0,0.0,0.0,3.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
223,Jean-Philippe,Mateta,Mateta,FWD,Crystal Palace,6.5,a,,,5.3,2.0,2.0,2,62,0,0,0,0.7,0.02,1.4,12.3,11.0,2.5,-3,0,19861,55254,19861,55254,62.0,0.0,0.0,0.0,0.0,-3.0,2.0,1,1,AVAILABLE,1.0,75.0,0.8333333333333334,MEDIUM,1
224,Eddie,Nketiah,Nketiah,FWD,Crystal Palace,5.5,a,,,0.5,1.0,1.0,1,55,0,0,0,0.6,0.58,10.4,24.5,23.0,5.8,12,0,2643,4646,2643,4646,55.0,0.0,0.0,0.0,0.0,12.0,1.0,0,1,AVAILABLE,1.0,45.0,0.5,HIGH,0
225,Christantus,Uche,Uche,FWD,Crystal Palace,5.0,u,has returned to Getafe CF,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,UNAVAILABLE,0.0,0.0,0.0,OUT,0
241,Dwight,McNeil,McNeil,MID,Crystal Palace,5.5,a,,,0.2,2.0,2.0,2,62,0,0,0,0.05,0.02,9.6,4.7,2.0,1.6,11,0,315,1324,315,1324,62.0,0.0,0.0,0.0,0.0,11.0,2.0,1,1,AVAILABLE,1.0,75.0,0.8333333333333334,MEDIUM,1
555,Remi,Matthews,Matthews,GKP,Crystal Palace,4.0,a,,,1.8,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5106,5369,5106,5369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,AVAILABLE,1.0,10.0,0.1111111111111111,VERY_HIGH,0
577,Takehiro,Tomiyasu,Tomiyasu,DEF,Crystal Palace,4.5,a,,,0.4,1.0,1.0,1,18,0,0,0,0.0,0.01,2.4,2.4,0.0,0.5,3,0,727,2105,727,2105,18.0,0.0,0.0,0.0,0.0,3.0,1.0,0,1,AVAILABLE,1.0,20.0,0.2222222222222222,VERY_HIGH,0
