name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,player_id,points_last_3,points_last_5,points_avg_5,minutes_last_5,starts_last_5,goals_last_5,assists_last_5,bps_avg_5,influence_avg_5,creativity_avg_5,threat_avg_5,ict_index_avg_5,form_5,price
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2025-02-15T12:30:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11,0,0,0,0,25,0,1119,0,2,0,0.0,0,-2,0,2,54,False,0,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,251,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19,0,0,0,0,26,0,1114,0,1,0,0.0,0,-5,0,5,54,True,0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,264,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16,0,0,0,0,27,0,1112,0,0,0,0.0,0,-2,0,2,54,False,0,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,276,0,0,0.0,0.0,2025-03-09T16:30:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,14,0,0,0,0,28,0,1112,0,1,1,0.0,0,0,0,0,54,False,0,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,281,0,0,0.0,0.0,2025-03-16T13:30:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,6,0,0,0,0,29,0,1110,0,0,1,0.0,0,-2,0,2,54,True,0,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,291,0,0,0.0,0.0,2025-04-01T18:45:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,9,0,0,0,0,30,0,1109,0,1,2,0.0,0,-1,0,1,54,True,0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,304,0,0,0.0,0.0,2025-04-05T11:30:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8,0,0,0,0,31,0,1107,0,1,1,0.0,0,-2,0,2,54,False,0,31,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,311,0,0,0.0,0.0,2025-04-12T16:30:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4,0,0,0,0,32,0,1107,0,1,1,0.0,0,0,0,0,54,True,0,32,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,326,0,0,0.0,0.0,2025-04-20T13:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,10,0,0,0,0,33,0,1106,0,4,0,0.0,0,-1,0,1,54,False,0,33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Fábio Ferreira Vieira,MID,Arsenal,0.0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,331,0,0,0.0,0.0,2025-04-23T19:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7,0,0,0,0,33,0,1106,0,2,2,0.0,0,-1,0,1,54,True,0,33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
